0.0,	100000.0, 100000.0, 100000.0
0.0,	-0.44396, 0.0, -23.89476
0.05,	-0.64394, 0.0, -23.89137
0.1,	-0.84391, 0.0, -23.88798
0.1,	-0.85686, 0.0, -23.88367
0.15,	-1.05675, 0.0, -23.87701
0.2,	-1.25664, 0.0, -23.87035
0.2,	-1.30667, 0.0, -23.86422
0.25,	-1.50641, 0.0, -23.85399
0.3,	-1.59955, 0.0, -23.84705
0.35,	-1.79919, 0.0, -23.83509
0.35,	-1.81639, 0.0, -23.83153
0.4,	-2.0159, 0.0, -23.81755
0.4,	-2.12996, 0.0, -23.80418
0.45,	-2.32912, 0.0, -23.78593
0.5,	-2.52829, 0.0, -23.76767
0.55,	-2.72745, 0.0, -23.74942
0.6,	-2.74024, 0.0, -23.74139
0.65,	-2.93883, 0.0, -23.7177
0.7,	-3.13742, 0.0, -23.69401
0.75,	-3.33602, 0.0, -23.67032
0.75,	-3.35167, 0.0, -23.66395
0.8,	-3.54981, 0.0, -23.6367
0.8,	-3.66519, 0.0, -23.58822
0.8,	-3.68245, 0.0, -23.61536
0.85,	-3.8804, 0.0, -23.58685
0.85,	-3.9247, 0.0, -23.5755
0.9,	-4.12206, 0.0, -23.5431
0.95,	-4.19222, 0.0, -23.52869
1.0,	-4.3892, 0.0, -23.49404
1.05,	-4.58617, 0.0, -23.45939
1.05,	-4.60636, 0.0, -23.45106
1.1,	-4.80265, 0.0, -23.41271
1.15,	-4.99461, 0.0, -23.37135
1.2,	-5.19029, 0.0, -23.33004
1.25,	-5.38598, 0.0, -23.28872
1.25,	-5.42469, 0.0, -23.27619
1.3,	-5.61964, 0.0, -23.23154
1.35,	-5.73412, 0.0, -23.20276
1.4,	-5.92862, 0.0, -23.15617
1.4,	-5.99598, 0.0, -23.13518
1.45,	-6.18956, 0.0, -23.08493
1.5,	-6.38315, 0.0, -23.03468
1.5,	-6.43797, 0.0, -23.0164
1.55,	-6.63074, 0.0, -22.96312
1.6,	-6.82351, 0.0, -22.90984
1.6,	-6.83454, 0.0, -22.90145
1.65,	-7.02618, 0.0, -22.84421
1.7,	-7.21781, 0.0, -22.78697
1.7,	-7.21878, 0.0, -22.78393
1.75,	-7.4098, 0.0, -22.72468
1.8,	-7.43382, 0.0, -22.71393
1.85,	-7.62408, 0.0, -22.65228
1.9,	-7.81434, 0.0, -22.59063
1.9,	-7.82732, 0.0, -22.58144
1.95,	-8.01638, 0.0, -22.5162
2.0,	-8.19387, 0.0, -22.45034
2.05,	-8.38176, 0.0, -22.38181
2.1,	-8.56965, 0.0, -22.31327
2.1,	-8.60649, 0.0, -22.29567
2.15,	-8.79329, 0.0, -22.2242
2.2,	-8.98009, 0.0, -22.15274
2.2,	-8.9839, 0.0, -22.1466
2.25,	-9.16942, 0.0, -22.07189
2.3,	-9.34687, 0.0, -21.99471
2.35,	-9.53076, 0.0, -21.91608
2.4,	-9.71466, 0.0, -21.83746
2.45,	-9.89856, 0.0, -21.75883
2.45,	-9.91754, 0.0, -21.74443
2.5,	-10.09957, 0.0, -21.66157
2.55,	-10.28159, 0.0, -21.57871
2.55,	-10.33969, 0.0, -21.54747
2.6,	-10.52025, 0.0, -21.46144
2.65,	-10.69861, 0.0, -21.3712
2.7,	-10.87749, 0.0, -21.28175
2.75,	-11.05638, 0.0, -21.19231
2.75,	-11.05683, 0.0, -21.18772
2.8,	-11.2343, 0.0, -21.09549
2.85,	-11.41177, 0.0, -21.00326
2.85,	-11.43566, 0.0, -20.98563
2.9,	-11.61139, 0.0, -20.89014
2.95,	-11.78712, 0.0, -20.79464
2.95,	-11.7907, 0.0, -20.78809
3.0,	-11.96486, 0.0, -20.68977
3.05,	-12.13903, 0.0, -20.59145
3.1,	-12.18316, 0.0, -20.56069
3.15,	-12.35528, 0.0, -20.45884
3.2,	-12.52008, 0.0, -20.35889
3.25,	-12.69135, 0.0, -20.2556
3.25,	-12.71193, 0.0, -20.23838
3.3,	-12.88147, 0.0, -20.13229
3.35,	-13.03565, 0.0, -20.03082
3.4,	-13.20337, 0.0, -19.92187
3.45,	-13.37109, 0.0, -19.81292
3.45,	-13.38433, 0.0, -19.79931
3.5,	-13.5502, 0.0, -19.68756
3.55,	-13.71607, 0.0, -19.57581
3.55,	-13.75896, 0.0, -19.54185
3.6,	-13.92293, 0.0, -19.42734
3.65,	-14.0708, 0.0, -19.31744
3.7,	-14.23225, 0.0, -19.19938
3.75,	-14.39369, 0.0, -19.08133
3.8,	-14.55513, 0.0, -18.96328
3.8,	-14.57285, 0.0, -18.94217
3.85,	-14.73113, 0.0, -18.81991
3.9,	-14.8894, 0.0, -18.69765
3.9,	-14.90493, 0.0, -18.68172
3.95,	-15.06167, 0.0, -18.55749
4.0,	-15.21841, 0.0, -18.43326
4.0,	-15.22554, 0.0, -18.42276
4.05,	-15.38038, 0.0, -18.29616
4.05,	-15.38291, 0.0, -18.29077
4.1,	-15.53643, 0.0, -18.16259
4.15,	-15.68995, 0.0, -18.03441
4.15,	-15.69449, 0.0, -18.02376
4.2,	-15.84527, 0.0, -17.89238
4.25,	-15.99606, 0.0, -17.76099
4.3,	-16.03396, 0.0, -17.72291
4.35,	-16.18272, 0.0, -17.58923
4.4,	-16.30684, 0.0, -17.4715
4.45,	-16.4531, 0.0, -17.33509
4.5,	-16.59937, 0.0, -17.19869
4.5,	-16.64503, 0.0, -17.15054
4.55,	-16.78906, 0.0, -17.01177
4.6,	-16.91578, 0.0, -16.88322
4.65,	-17.0572, 0.0, -16.7418
4.7,	-17.19862, 0.0, -16.60038
